symbol,timestamp,open,high,low,close,volume,trade_count,vwap
GOOGL,2026-02-09 05:00:00+00:00,321.015,327.69,317.29,324.27,1217645.0,20338.0,324.076699
GOOGL,2026-02-10 05:00:00+00:00,321.035,321.6,314.64,318.59,884068.0,13577.0,318.406906
GOOGL,2026-02-11 05:00:00+00:00,319.165,320.79,309.66,310.78,1085648.0,16881.0,312.250536
GOOGL,2026-02-12 05:00:00+00:00,312.05,316.19,307.765,309.0,1122579.0,15497.0,311.198964
GOOGL,2026-02-13 05:00:00+00:00,307.835,308.2,303.88,305.71,1043446.0,13999.0,306.175929
GOOGL,2026-02-17 05:00:00+00:00,300.04,304.32,296.3,302.11,1026750.0,14642.0,300.574626
GOOGL,2026-02-18 05:00:00+00:00,301.68,305.38,301.25,303.21,738166.0,13024.0,303.275322
GOOGL,2026-02-19 05:00:00+00:00,301.715,305.455,300.115,302.83,1186922.0,10995.0,303.743593
GOOGL,2026-02-20 05:00:00+00:00,304.1,316.48,304.055,315.16,1075076.0,15438.0,312.953969
GOOGL,2026-02-23 05:00:00+00:00,319.07,319.32,309.88,311.485,709272.0,11215.0,314.186773
GOOGL,2026-02-24 05:00:00+00:00,310.505,312.22,306.02,310.92,531585.0,9251.0,310.006875
GOOGL,2026-02-25 05:00:00+00:00,312.05,313.635,309.44,312.96,724783.0,10796.0,311.574333
MSFT,2026-01-27 05:00:00+00:00,473.59,482.855,473.28,480.6,814705.0,20674.0,479.168464
MSFT,2026-01-28 05:00:00+00:00,483.44,483.44,478.0,481.64,684448.0,16225.0,480.545732
MSFT,2026-01-29 05:00:00+00:00,440.3,442.2,421.05,433.12,4062705.0,81516.0,427.501996
MSFT,2026-01-30 05:00:00+00:00,439.525,439.525,426.47,430.05,1705414.0,40239.0,431.284512
MSFT,2026-02-02 05:00:00+00:00,430.26,430.67,422.31,423.24,1166296.0,24908.0,426.144375
MSFT,2026-02-03 05:00:00+00:00,421.945,421.975,408.58,411.25,1910790.0,36795.0,411.988794
MSFT,2026-02-04 05:00:00+00:00,410.685,418.67,409.29,414.18,1157797.0,25334.0,414.7652
MSFT,2026-02-05 05:00:00+00:00,407.59,408.235,392.39,393.65,1998879.0,41255.0,399.965952
MSFT,2026-02-06 05:00:00+00:00,398.395,401.76,392.96,401.015,1568628.0,28591.0,398.166434
MSFT,2026-02-09 05:00:00+00:00,404.585,414.88,400.88,413.69,2076945.0,30553.0,411.060726
MSFT,2026-02-10 05:00:00+00:00,419.66,423.655,412.72,413.32,1895777.0,20119.0,419.007359
MSFT,2026-02-11 05:00:00+00:00,416.175,416.28,401.03,404.24,1152051.0,24840.0,404.735154
MSFT,2026-02-12 05:00:00+00:00,404.81,406.19,398.02,401.88,1117401.0,23020.0,402.484511
MSFT,2026-02-13 05:00:00+00:00,404.11,405.4,398.095,401.18,913973.0,18812.0,402.075481
MSFT,2026-02-17 05:00:00+00:00,399.06,400.41,394.55,396.76,798908.0,18523.0,397.206299
MSFT,2026-02-18 05:00:00+00:00,397.76,402.53,396.435,399.56,504627.0,14960.0,400.268487
MSFT,2026-02-19 05:00:00+00:00,400.515,404.38,396.695,398.41,782692.0,16808.0,399.443011
MSFT,2026-02-20 05:00:00+00:00,396.195,400.11,395.32,397.28,952334.0,21307.0,397.411352
MSFT,2026-02-23 05:00:00+00:00,395.03,395.03,383.13,384.635,1223176.0,27873.0,386.608952
MSFT,2026-02-24 05:00:00+00:00,383.92,389.23,381.885,389.06,844603.0,19283.0,386.927023
MSFT,2026-02-25 05:00:00+00:00,390.425,401.1,390.16,400.52,1353926.0,20337.0,397.387342
